Navigation,Keys,Binding,System,Status,Category,HasIdeAction,HasKarabiner,HasIdeaVim,IsImplemented,ConfigFile
Horizontal,"H, L",None,I,Implemented,Navigation,Yes,Yes,Yes,Yes,.ideavimrc
Horizontal,"H, L",Shift,W,Implemented,Selection,Yes,Yes,Yes,Yes,keymap.xml
Horizontal,"H, L",Ctrl,W+I,Implemented,Text_Edit,Yes,Yes,Yes,Yes,keymap.xml
Horizontal,"H, L",Alt,W,Implemented,Navigation,Yes,Yes,Yes,Yes,keymap.xml
Horizontal,"H, L",Cmd,W,Implemented,Action,Yes,Yes,No,Yes,keymap.xml
Horizontal,"H, L",Shift Ctrl,-,Planned,Selection,Yes,Yes,No,No,-
Horizontal,"H, L",Shift Alt,W,Implemented,Selection,Yes,Yes,No,Yes,keymap.xml
Horizontal,"H, L",Shift Cmd,W,Implemented,Window,Yes,Yes,Yes,Yes,keymap.xml
Horizontal,"H, L",Ctrl Alt,-,Planned,Navigation,Yes,Yes,No,No,-
Horizontal,"H, L",Ctrl Cmd,-,Planned,Navigation,Yes,Yes,No,No,-
Horizontal,"H, L",Alt Cmd,W,Implemented,Action,Yes,Yes,No,Yes,keymap.xml
Horizontal,"H, L",Shift Ctrl Alt,W,Implemented,Window,Yes,Yes,No,Yes,keymap.xml
Horizontal,"H, L",Shift Ctrl Cmd,-,Planned,Custom,No,Yes,No,No,-
Horizontal,"H, L",Shift Alt Cmd,W,Implemented,Action,Yes,Yes,No,Yes,keymap.xml
Horizontal,"H, L",Ctrl Alt Cmd,-,Planned,Custom,No,Yes,No,No,-
Horizontal,"H, L",Shift Ctrl Alt Cmd,-,Planned,Custom,No,Yes,No,No,-
Horizontal,"H, L",Hyper,K,Implemented,Navigation,Yes,Yes,No,Yes,karabiner.json
Horizontal,"H, L",Hyper Shift,K,Planned,Selection,Yes,No,No,No,-
Horizontal,"H, L",Hyper Ctrl,K,Implemented,Desktop,Yes,No,No,Yes,karabiner.json
Horizontal,"H, L",Hyper Alt,K,Needs_Attention,Mouse,Yes,No,No,No,-
Horizontal,"H, L",Hyper Cmd,W,Implemented,Window,Yes,No,No,Yes,keymap.xml
Horizontal,"H, L",G Prefix,I,Implemented,Navigation,Yes,No,Yes,Yes,.ideavimrc
Horizontal,"H, L",Change Camel,I,Implemented,Text_Edit,Yes,No,Yes,Yes,.ideavimrc
Horizontal,"H, L",Delete Camel,I,Implemented,Text_Edit,Yes,No,Yes,Yes,.ideavimrc
Horizontal,"H, L",Inner Camel,I,Implemented,Text_Edit,Yes,No,Yes,Yes,.ideavimrc
Horizontal,"H, L",Scroll Horizontal,I,Implemented,Navigation,Yes,No,Yes,Yes,.ideavimrc
Horizontal,"H, L",Double Tap,-,Planned,Timing,No,Yes,No,No,-
Horizontal,"H, L",Shift Double Tap,-,Planned,Timing,No,Yes,No,No,-
Horizontal,"H, L",Ctrl Double Tap,-,Planned,Timing,No,Yes,No,No,-
Horizontal,"H, L",Alt Double Tap,-,Planned,Timing,No,Yes,No,No,-
Horizontal,"H, L",Cmd Double Tap,-,Planned,Timing,No,Yes,No,No,-
Horizontal,"H, L",Leader,I,Planned,Leader,No,No,Yes,No,-
Horizontal,"H, L",Leader Shift,I,Planned,Leader,No,No,Yes,No,-
Horizontal,"H, L",Leader Ctrl,I,Planned,Leader,No,No,Yes,No,-
Horizontal,"H, L",Leader Alt,I,Planned,Leader,No,No,Yes,No,-
Horizontal,"H, L",Leader Cmd,I,Planned,Leader,No,No,Yes,No,-
Horizontal,"H, L",Double Leader,I,Planned,Leader,No,No,Yes,No,-
Horizontal,"H, L",Long Press,-,Planned,Timing,No,Yes,No,No,-
Horizontal,"H, L",Tap Hold,-,Planned,Timing,No,Yes,No,No,-
Horizontal,"H, L",Chord Vertical,-,Planned,Chord,No,Yes,No,No,-
Horizontal,"H, L",Chord Mouse,-,Planned,Chord,No,Yes,No,No,-
Horizontal,"H, L",Chord Scroll,-,Planned,Chord,No,Yes,No,No,-
Horizontal,"H, L",Yank Horizontal,I,Planned,Sequence,No,No,Yes,No,-
Horizontal,"H, L",Visual Horizontal,I,Planned,Sequence,No,No,Yes,No,-
Horizontal,"H, L",Mark Horizontal,I,Planned,Sequence,No,No,Yes,No,-
Horizontal,"H, L",Jump Mark,I,Planned,Sequence,No,No,Yes,No,-
Horizontal,"H, L",Register Horizontal,I,Planned,Sequence,No,No,Yes,No,-
Horizontal,"H, L",Backslash Leader,I,Planned,Leader,No,No,Yes,No,-
Vertical,"J, K",None,I,Implemented,Navigation,Yes,Yes,Yes,Yes,.ideavimrc
Vertical,"J, K",Shift,W,Implemented,Selection,Yes,Yes,Yes,Yes,keymap.xml
Vertical,"J, K",Ctrl,W,Implemented,Navigation,Yes,Yes,No,Yes,keymap.xml
Vertical,"J, K",Alt,W,Implemented,Text_Edit,Yes,Yes,No,Yes,keymap.xml
Vertical,"J, K",Cmd,W,Implemented,Action,Yes,Yes,No,Yes,keymap.xml
Vertical,"J, K",Shift Ctrl,-,Planned,Selection,Yes,Yes,No,No,-
Vertical,"J, K",Shift Alt,-,Planned,Selection,Yes,Yes,No,No,-
Vertical,"J, K",Shift Cmd,W,Implemented,Action,Yes,Yes,No,Yes,keymap.xml
Vertical,"J, K",Ctrl Alt,W,Implemented,Text_Edit,Yes,Yes,No,Yes,keymap.xml
Vertical,"J, K",Ctrl Cmd,-,Planned,Navigation,Yes,Yes,No,No,-
Vertical,"J, K",Alt Cmd,W,Implemented,Action,Yes,Yes,No,Yes,keymap.xml
Vertical,"J, K",Shift Ctrl Alt,-,Planned,Selection,Yes,Yes,No,No,-
Vertical,"J, K",Shift Ctrl Cmd,-,Planned,Custom,No,Yes,No,No,-
Vertical,"J, K",Shift Alt Cmd,-,Planned,Custom,No,Yes,No,No,-
Vertical,"J, K",Ctrl Alt Cmd,-,Planned,Custom,No,Yes,No,No,-
Vertical,"J, K",Shift Ctrl Alt Cmd,-,Planned,Custom,No,Yes,No,No,-
Vertical,"J, K",Hyper,K,Implemented,Navigation,Yes,Yes,No,Yes,karabiner.json
Vertical,"J, K",Hyper Shift,K,Planned,Navigation,Yes,No,No,No,-
Vertical,"J, K",Hyper Ctrl,K,Planned,Desktop,Yes,No,No,No,-
Vertical,"J, K",Hyper Alt,K,Planned,Mouse,Yes,No,No,No,-
Vertical,"J, K",Hyper Cmd,-,Planned,Custom,No,No,No,No,-
Vertical,"J, K",G Prefix,I,Implemented,Navigation,Yes,No,Yes,Yes,.ideavimrc
Vertical,"J, K",Double Tap,-,Planned,Timing,No,Yes,No,No,-
Vertical,"J, K",Shift Double Tap,-,Planned,Timing,No,Yes,No,No,-
Vertical,"J, K",Ctrl Double Tap,-,Planned,Timing,No,Yes,No,No,-
Vertical,"J, K",Alt Double Tap,-,Planned,Timing,No,Yes,No,No,-
Vertical,"J, K",Cmd Double Tap,-,Planned,Timing,No,Yes,No,No,-
Vertical,"J, K",Leader,I,Planned,Leader,No,No,Yes,No,-
Vertical,"J, K",Leader Shift,I,Planned,Leader,No,No,Yes,No,-
Vertical,"J, K",Leader Ctrl,I,Planned,Leader,No,No,Yes,No,-
Vertical,"J, K",Leader Alt,I,Planned,Leader,No,No,Yes,No,-
Vertical,"J, K",Leader Cmd,I,Planned,Leader,No,No,Yes,No,-
Vertical,"J, K",Double Leader,I,Planned,Leader,No,No,Yes,No,-
Vertical,"J, K",Long Press,-,Planned,Timing,No,Yes,No,No,-
Vertical,"J, K",Tap Hold,-,Planned,Timing,No,Yes,No,No,-
Vertical,"J, K",Chord Horizontal,-,Planned,Chord,No,Yes,No,No,-
Vertical,"J, K",Chord Mouse,-,Planned,Chord,No,Yes,No,No,-
Vertical,"J, K",Chord Scroll,-,Planned,Chord,No,Yes,No,No,-
Vertical,"J, K",Yank Vertical,I,Planned,Sequence,No,No,Yes,No,-
Vertical,"J, K",Visual Vertical,I,Planned,Sequence,No,No,Yes,No,-
Vertical,"J, K",Mark Vertical,I,Planned,Sequence,No,No,Yes,No,-
Vertical,"J, K",Jump Mark Vertical,I,Planned,Sequence,No,No,Yes,No,-
Vertical,"J, K",Register Vertical,I,Planned,Sequence,No,No,Yes,No,-
Vertical,"J, K",Backslash Leader Vertical,I,Planned,Leader,No,No,Yes,No,-
Vertical,"J, K",Bracket Prev,I,Planned,Sequence,No,No,Yes,No,-
Vertical,"J, K",Bracket Next,I,Planned,Sequence,No,No,Yes,No,-
Vertical,"J, K",Scroll Vertical,I,Planned,Navigation,Yes,No,Yes,No,-
